stage	job_id	dependency_or_status
authoritative_scoreDT_run	10884228	COMPLETED 0:0
authoritative_scorex0_run	10803830	COMPLETED 0:0
excluded_scoreDT_gate	10920857	COMPLETED 0:0 but only a three-second gate; not the run.sh job
excluded_scorex0_redundant_redo	10943691	TIMEOUT; never credited
failed_scoreDT_epoch595_repair	11079590	FAILED 1:0 because Hydra was launched from the wrong working directory; never credited
cancelled_dispatcher	11079591	CANCELLED after failed dependency; never credited
failed_scoreDT_epoch595_repair	11095647	FAILED 1:0 because preflight incorrectly required exactly one checkpoint file; never credited
cancelled_dispatcher	11095648	cancelled before start when its earlier fm dependency was superseded; never credited
cancelled_dispatcher	11097475	cancelled after failed dependency; never credited
failed_scoreDT_epoch595_repair	11098436	FAILED 1:0 because epoch filtering incorrectly parsed full-path digits; never credited
cancelled_dispatcher	11098437	cancelled after failed dependency; never credited
scoreDT_epoch595_repair	11099158	filename-based epoch-595 repair submitted 2026-08-01
downstream_dispatcher	11099159	afterok:11099158:11097445
