folder	pair_index	gen	out
add	0	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/add/add_inf/model.masking.a:0.2/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/add/add_inf/model.masking.a:0.2/test/metrics
add	1	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/add/add_inf/model.masking.a:0.4/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/add/add_inf/model.masking.a:0.4/test/metrics
add	2	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/add/add_inf/model.masking.a:0.6/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/add/add_inf/model.masking.a:0.6/test/metrics
blur	0	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/blur/blur_inf/model.masking.b:10/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/blur/blur_inf/model.masking.b:10/test/metrics
blur	1	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/blur/blur_inf/model.masking.b:20/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/blur/blur_inf/model.masking.b:20/test/metrics
blur	2	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/blur/blur_inf/model.masking.b:40/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/blur/blur_inf/model.masking.b:40/test/metrics
fmDT	0	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/fmDT/fmDT_inf/model.masking.a:1/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/fmDT/fmDT_inf/model.masking.a:1/test/metrics
levy	0	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/levy/levy_inf/model.masking.alpha:1.8/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/levy/levy_inf/model.masking.alpha:1.8/test/metrics
levy	1	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/levy/levy_inf/model.masking.alpha:1.9/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/levy/levy_inf/model.masking.alpha:1.9/test/metrics
mask	0	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/mask/mask_inf/model.masking.a:1/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/mask/mask_inf/model.masking.a:1/test/metrics
one-shot	0	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/one-shot/one-shot_inf/model.masking.a:0.2/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/one-shot/one-shot_inf/model.masking.a:0.2/test/metrics
product	0	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/product/product_inf/model.masking.a:0.2/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/product/product_inf/model.masking.a:0.2/test/metrics
product	1	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/product/product_inf/model.masking.a:0.4/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/product/product_inf/model.masking.a:0.4/test/metrics
product	2	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/product/product_inf/model.masking.a:0.6/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/product/product_inf/model.masking.a:0.6/test/metrics
score	0	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/score/score_inf/model.masking.a:1.0/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/score/score_inf/model.masking.a:1.0/test/metrics
score	1	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/score/score_inf/model.masking.a:0.8/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/score/score_inf/model.masking.a:0.8/test/metrics
score	2	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/score/score_inf/model.masking.a:0.6/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/score/score_inf/model.masking.a:0.6/test/metrics
score	3	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/score/score_inf/model.masking.a:0.4/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/score/score_inf/model.masking.a:0.4/test/metrics
score	4	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/score/score_inf/model.masking.a:0.2/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/score/score_inf/model.masking.a:0.2/test/metrics
scoreDT	0	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scoreDT/scoreDT_inf/model.masking.a:1.0/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scoreDT/scoreDT_inf/model.masking.a:1.0/test/metrics
scoreDT	1	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scoreDT/scoreDT_inf/model.masking.a:0.8/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scoreDT/scoreDT_inf/model.masking.a:0.8/test/metrics
scoreDT	2	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scoreDT/scoreDT_inf/model.masking.a:0.6/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scoreDT/scoreDT_inf/model.masking.a:0.6/test/metrics
scoreDT	3	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scoreDT/scoreDT_inf/model.masking.a:0.4/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scoreDT/scoreDT_inf/model.masking.a:0.4/test/metrics
scoreDT	4	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scoreDT/scoreDT_inf/model.masking.a:0.2/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scoreDT/scoreDT_inf/model.masking.a:0.2/test/metrics
scorex0	0	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scorex0/scorex0_inf/model.masking.a:1.0/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scorex0/scorex0_inf/model.masking.a:1.0/test/metrics
