folder	pair_index	stage	job_id	gen	out
add	0	run	10800233	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/add/add_inf/model.masking.a:0.2/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/add/add_inf/model.masking.a:0.2/test/metrics
add	0	gen_repair	10804134	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/add/add_inf/model.masking.a:0.2/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/add/add_inf/model.masking.a:0.2/test/metrics
add	0	metrics	11104582	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/add/add_inf/model.masking.a:0.2/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/add/add_inf/model.masking.a:0.2/test/metrics
add	1	run	10800233	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/add/add_inf/model.masking.a:0.4/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/add/add_inf/model.masking.a:0.4/test/metrics
add	1	gen_repair	10804135	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/add/add_inf/model.masking.a:0.4/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/add/add_inf/model.masking.a:0.4/test/metrics
add	1	metrics	11104583	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/add/add_inf/model.masking.a:0.4/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/add/add_inf/model.masking.a:0.4/test/metrics
add	2	run	10800233	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/add/add_inf/model.masking.a:0.6/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/add/add_inf/model.masking.a:0.6/test/metrics
add	2	gen_repair	10804137	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/add/add_inf/model.masking.a:0.6/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/add/add_inf/model.masking.a:0.6/test/metrics
add	2	metrics	11104584	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/add/add_inf/model.masking.a:0.6/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/add/add_inf/model.masking.a:0.6/test/metrics
blur	0	run	10800211	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/blur/blur_inf/model.masking.b:10/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/blur/blur_inf/model.masking.b:10/test/metrics
blur	0	gen_repair	10804136	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/blur/blur_inf/model.masking.b:10/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/blur/blur_inf/model.masking.b:10/test/metrics
blur	0	metrics	11104585	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/blur/blur_inf/model.masking.b:10/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/blur/blur_inf/model.masking.b:10/test/metrics
blur	1	run	10800211	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/blur/blur_inf/model.masking.b:20/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/blur/blur_inf/model.masking.b:20/test/metrics
blur	1	gen_repair	10804138	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/blur/blur_inf/model.masking.b:20/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/blur/blur_inf/model.masking.b:20/test/metrics
blur	1	metrics	11104586	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/blur/blur_inf/model.masking.b:20/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/blur/blur_inf/model.masking.b:20/test/metrics
blur	2	run	10800211	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/blur/blur_inf/model.masking.b:40/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/blur/blur_inf/model.masking.b:40/test/metrics
blur	2	gen_repair	10804139	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/blur/blur_inf/model.masking.b:40/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/blur/blur_inf/model.masking.b:40/test/metrics
blur	2	metrics	11104587	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/blur/blur_inf/model.masking.b:40/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/blur/blur_inf/model.masking.b:40/test/metrics
fmDT	0	run	10800235	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/fmDT/fmDT_inf/model.masking.a:1/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/fmDT/fmDT_inf/model.masking.a:1/test/metrics
fmDT	0	gen_repair	10804142	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/fmDT/fmDT_inf/model.masking.a:1/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/fmDT/fmDT_inf/model.masking.a:1/test/metrics
fmDT	0	metrics	11104593	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/fmDT/fmDT_inf/model.masking.a:1/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/fmDT/fmDT_inf/model.masking.a:1/test/metrics
levy	0	run	10800210	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/levy/levy_inf/model.masking.alpha:1.8/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/levy/levy_inf/model.masking.alpha:1.8/test/metrics
levy	0	gen_repair	10804144	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/levy/levy_inf/model.masking.alpha:1.8/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/levy/levy_inf/model.masking.alpha:1.8/test/metrics
levy	0	metrics	11104594	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/levy/levy_inf/model.masking.alpha:1.8/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/levy/levy_inf/model.masking.alpha:1.8/test/metrics
levy	1	run	10800210	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/levy/levy_inf/model.masking.alpha:1.9/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/levy/levy_inf/model.masking.alpha:1.9/test/metrics
levy	1	gen_repair	10804145	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/levy/levy_inf/model.masking.alpha:1.9/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/levy/levy_inf/model.masking.alpha:1.9/test/metrics
levy	1	metrics	11104595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/levy/levy_inf/model.masking.alpha:1.9/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/levy/levy_inf/model.masking.alpha:1.9/test/metrics
mask	0	run	10800213	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/mask/mask_inf/model.masking.a:1/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/mask/mask_inf/model.masking.a:1/test/metrics
mask	0	gen_repair	10804146	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/mask/mask_inf/model.masking.a:1/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/mask/mask_inf/model.masking.a:1/test/metrics
mask	0	metrics	11104596	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/mask/mask_inf/model.masking.a:1/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/mask/mask_inf/model.masking.a:1/test/metrics
one-shot	0	run	10800207	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/one-shot/one-shot_inf/model.masking.a:0.2/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/one-shot/one-shot_inf/model.masking.a:0.2/test/metrics
one-shot	0	gen_repair	10804150	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/one-shot/one-shot_inf/model.masking.a:0.2/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/one-shot/one-shot_inf/model.masking.a:0.2/test/metrics
one-shot	0	metrics	11104597	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/one-shot/one-shot_inf/model.masking.a:0.2/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/one-shot/one-shot_inf/model.masking.a:0.2/test/metrics
product	0	run	10800236	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/product/product_inf/model.masking.a:0.2/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/product/product_inf/model.masking.a:0.2/test/metrics
product	0	gen_repair	10804151	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/product/product_inf/model.masking.a:0.2/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/product/product_inf/model.masking.a:0.2/test/metrics
product	0	metrics	11104598	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/product/product_inf/model.masking.a:0.2/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/product/product_inf/model.masking.a:0.2/test/metrics
product	1	run	10800236	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/product/product_inf/model.masking.a:0.4/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/product/product_inf/model.masking.a:0.4/test/metrics
product	1	gen_repair	10804149	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/product/product_inf/model.masking.a:0.4/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/product/product_inf/model.masking.a:0.4/test/metrics
product	1	metrics	11104599	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/product/product_inf/model.masking.a:0.4/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/product/product_inf/model.masking.a:0.4/test/metrics
product	2	run	10800236	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/product/product_inf/model.masking.a:0.6/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/product/product_inf/model.masking.a:0.6/test/metrics
product	2	gen_repair	10804152	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/product/product_inf/model.masking.a:0.6/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/product/product_inf/model.masking.a:0.6/test/metrics
product	2	metrics	11104600	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/product/product_inf/model.masking.a:0.6/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/product/product_inf/model.masking.a:0.6/test/metrics
score	0	run	10804165	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/score/score_inf/model.masking.a:1.0/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/score/score_inf/model.masking.a:1.0/test/metrics
score	0	gen_repair	10804157	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/score/score_inf/model.masking.a:1.0/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/score/score_inf/model.masking.a:1.0/test/metrics
score	0	metrics	11104601	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/score/score_inf/model.masking.a:1.0/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/score/score_inf/model.masking.a:1.0/test/metrics
score	1	run	10804165	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/score/score_inf/model.masking.a:0.8/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/score/score_inf/model.masking.a:0.8/test/metrics
score	1	gen_repair	10804155	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/score/score_inf/model.masking.a:0.8/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/score/score_inf/model.masking.a:0.8/test/metrics
score	1	metrics	11104602	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/score/score_inf/model.masking.a:0.8/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/score/score_inf/model.masking.a:0.8/test/metrics
score	2	run	10804165	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/score/score_inf/model.masking.a:0.6/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/score/score_inf/model.masking.a:0.6/test/metrics
score	2	gen_repair	10804153	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/score/score_inf/model.masking.a:0.6/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/score/score_inf/model.masking.a:0.6/test/metrics
score	2	metrics	11104603	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/score/score_inf/model.masking.a:0.6/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/score/score_inf/model.masking.a:0.6/test/metrics
score	3	run	10804165	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/score/score_inf/model.masking.a:0.4/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/score/score_inf/model.masking.a:0.4/test/metrics
score	3	gen_repair	10804148	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/score/score_inf/model.masking.a:0.4/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/score/score_inf/model.masking.a:0.4/test/metrics
score	3	metrics	11104604	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/score/score_inf/model.masking.a:0.4/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/score/score_inf/model.masking.a:0.4/test/metrics
score	4	run	10804165	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/score/score_inf/model.masking.a:0.2/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/score/score_inf/model.masking.a:0.2/test/metrics
score	4	gen_repair	10804154	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/score/score_inf/model.masking.a:0.2/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/score/score_inf/model.masking.a:0.2/test/metrics
score	4	metrics	11104605	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/score/score_inf/model.masking.a:0.2/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/score/score_inf/model.masking.a:0.2/test/metrics
scoreDT	0	run	10884228	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scoreDT/scoreDT_inf/model.masking.a:1.0/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scoreDT/scoreDT_inf/model.masking.a:1.0/test/metrics
scoreDT	0	gen_repair	11099158	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scoreDT/scoreDT_inf/model.masking.a:1.0/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scoreDT/scoreDT_inf/model.masking.a:1.0/test/metrics
scoreDT	0	metrics	11104606	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scoreDT/scoreDT_inf/model.masking.a:1.0/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scoreDT/scoreDT_inf/model.masking.a:1.0/test/metrics
scoreDT	1	run	10884228	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scoreDT/scoreDT_inf/model.masking.a:0.8/test/converted/Epoch_595	/mnt/parscratch/users/acp23xt/private/DTDM_Unet/scoreDT/scoreDT_inf/model.masking.a:0.8/test/metrics
