stage	job_id	detail
failed_retry3_dispatch	11149644	controller dependency on aged completed predecessor rejected
cancelled_retry3_payload_range	11149783-11149797	fifteen held jobs cancelled before start by fail-closed cleanup
metric_retry4_array	11149886	five fmDT configurations
wer_retry2_array	11149887	five fmDT configurations, Whisper large-v3
utmos_retry2_array	11149888	five fmDT configurations
metric_retry4_task	11149886_0	configuration 0
wer_retry2_task	11149887_0	configuration 0
utmos_retry2_task	11149888_0	configuration 0
metric_retry4_task	11149886_1	configuration 1
wer_retry2_task	11149887_1	configuration 1
utmos_retry2_task	11149888_1	configuration 1
metric_retry4_task	11149886_2	configuration 2
wer_retry2_task	11149887_2	configuration 2
utmos_retry2_task	11149888_2	configuration 2
metric_retry4_task	11149886_3	configuration 3
wer_retry2_task	11149887_3	configuration 3
utmos_retry2_task	11149888_3	configuration 3
metric_retry4_task	11149886_4	configuration 4
wer_retry2_task	11149887_4	configuration 4
utmos_retry2_task	11149888_4	configuration 4
summary_retry4	11149889	after all three five-task arrays
final_audit_retry4	11149890	after replacement summary; revalidates completed loss and bridge
