stage	job_id	dependency_or_status
failed_scoreDT_epoch595_repair	11095647	FAILED 1:0 after four seconds because its preflight incorrectly required exactly one checkpoint file; never credited
fm_five_sweep_run_array	11097445	five-task retry 0-4 from current fm/run.sh; authoritative 24-hour-per-task replacement after prior arrays were cancelled with zero runtime
cancelled_dispatcher	11097475	cancelled after 11095647 failed and made its dependency impossible; never credited
failed_scoreDT_epoch595_repair	11098436	FAILED 1:0 because the workflow wrapper parsed epoch digits from full paths; never credited
cancelled_dispatcher	11098437	cancelled after 11098436 failed and made its dependency impossible; never credited
scoreDT_epoch595_repair	11099158	filename-based epoch-595 repair; submitted 2026-08-01 after validating one checkpoint for each of five sweeps
downstream_dispatcher	11099159	afterok:11099158:11097445; dispatches all 34 paths only after corrected scoreDT repair and all five fm array tasks succeed
superseded_fm_array	11097435	four-day five-task array cancelled with zero runtime; replaced by the requested 24-hour array 11097445
superseded_dispatcher	11097436	cancelled with zero runtime because it depended on superseded array 11097435
cancelled_fm_array	11095748	cancelled at 2026-07-31T21:50:14+01:00 with zero runtime; never credited
cancelled_dispatcher	11095754	cancelled after dependency became impossible when 11095748 was cancelled; zero runtime; never credited
superseded_fm_serial	11095699	cancelled before start; two-day serial allocation could not safely cover five sweeps
superseded_dispatcher	11095648	cancelled before start; dependency referenced superseded fm job 11095699
cadence_reconciliation	11100386	afterany:11097445 with --begin=2026-08-01T14:45:00; bounded one-shot accounting snapshot only, no polling or experiment mutation
report_label_repair_summary	11104956	fresh TAN-10 report regeneration after all original prerequisites and completion audit 11104621 succeeded; 45-minute fail-closed report-label and 35-line CSV assertions
report_label_repair_audit	11104957	afterok:11104956; independent 34-path audit with isolated bytecode cache plus TAN-10 report-label and 35-line CSV assertions
failed_report_label_repair_audit	11104957	FAILED 1:0 because the immutable pipeline ledger still named original summary/audit IDs; no acceptance credit
report_label_repair_audit_retry	11104981	afterok:11104956; atomically binds pipeline_job_ids.tsv to repaired summary 11104956 and its own audit ID before running the full isolated-cache audit and report assertions
