folder	pair_index	job_id
add	0	10804134
add	1	10804135
add	2	10804137
blur	0	10804136
blur	1	10804138
blur	2	10804139
fmDT	0	10804142
levy	0	10804144
levy	1	10804145
mask	0	10804146
one-shot	0	10804150
product	0	10804151
product	1	10804149
product	2	10804152
score	0	10804157
score	1	10804155
score	2	10804153
score	3	10804148
score	4	10804154
scoreDT	0	11099158
scoreDT	1	11099158
scoreDT	2	11099158
scoreDT	3	11099158
scoreDT	4	11099158
scorex0	0	10804141
scorex0	1	10804159
scorex0	2	10804156
scorex0	3	10804158
scorex0	4	10804140
